100,ADV,AdvisorShares
101,ALC,AlphaClone
102,ALP,ALPS
103,ARK,ARK ETF Trust
104,ARW,ArrowShares
105,BAR,Barclays Funds
106,CAM,CAMBRIA ETF TRUST
107,CIT,Citigroup
108,CLS,Claymore Securities
109,COL,Columbia
110,CRS,Credit Suisse AG
111,CAM,CSOP Asset Management
112,DAW,Deutsche Asset &amp; Wealth Management
113,DBA,Deutsche Bank AG
114,DRX,Direxion Funds
115,EGS,Egshares
116,ELE,ELEMENTS
117,EGA,Emerging Global Advisors
118,ESS,ETF Securities
119,AGT,ETFS Asian Gold Trust
120,EPT,ETFS Palladium Trust
121,PLT,ETFS Platinum Trust
122,PMB,ETFS Precious Metals Basket Trust
123,SLV,ETFS Silver Trust
124,SGT,ETFS Swiss Gold Trust
125,WMB,ETFS White Metals Basket Trust
126,ETC,Exchange Traded Concepts Trust
128,FID,Fidelity Investments
129,FRS,First Trust
130,FLX,Flexshares Trust
131,FTI,Franklin Templeton Investments
132,GXF,Global X Funds
133,GSC,Goldman Sachs
134,GHV,GreenHaven
135,GUG,Guggenheim Investments
136,HIF,Highland Funds
137,HRZ,Horizons ETFs
138,HSS,Huntington Strategy Shares
139,IIQ,IndexIQ
140,IFC,InfraCap
141,IFS,Innovator Funds
142,ISH,iShares
143,JPM,JPMorgan
144,KSH,KraneShares
145,LSL,Lattice Strategies LLC
146,LSH,LocalShares
147,MVS,Market Vectors
148,MSH,Master Shares
149,MRK,Merk Funds
150,PMC,PIMCO
151,PSH,PowerShares
152,PSD,PowerShares DB
153,PFL,Precidian Funds LLC
154,PRO,ProShares
155,PUR,Pure Funds
156,QNT,QuantShares
157,RST,Reality Shares ETF Trust
158,RCA,Renaissance Capital
159,RSH,RevenueShares
160,RIS,RISE
161,RBS,Royal Bank of Scotland NV
162,RUS,Russell Investments
163,SCH,Schwab ETFs
164,SPD,SPDR State Street Global Advisors
165,TEU,Teucrium
166,TWM,TWM FUNDS
167,UBS,UBS Group AG
168,USC,United States Commodity Funds LLC
169,UET,USCF Equity Trust
170,VAL,valueshares
171,VAN,Vanguard
172,WBI,WBI Investments
173,WST,WisdomTree